habilidad_cliente,nivel_cliente,Concat_Habilidad_UBITS
Comprensión de conceptos de ciencia de datos - N1 - E,Básico (Nivel 1),"3682,201927,203065,27730,202066,201155,29382,202446,204192,202437,27357,7437,7967,200133,3693,27344,202065,1505,201803,4016,2093,204178,2750,7965,201683,27343,201936,200262,8074,204227,27550,204215,27560,6597,7765,7671,2008,27365,201932,15198,204246,202164,204135,27355,27353,29227,203665,202731,7487,200326,200284,7518,7484,200140,201291,18057,7504,27675,200617,200602,29443,201445,201641,3781,7438,2271,201434,7460,201079,8869,202161,200155,201336,204221,201114,27348,ID,1842,29281,1535,204185,7452,29283,1986,1591,4846,27364,784,1523,200136,8889,202047,27571,1269,2231,201431,29398,3779,202190,201184"
Comprensión de conceptos de ciencia de datos - N2 - E,Intermedio (Nivel 2),"29227,201683,202066,29382,3682,203065,27344,202190,201927,201932,7437,2093,204215,202446,27351,201936,204227,4016,4846,202164,201155,7967,27355,202065,200133,27730,204135,27353,29443,3781,29398,200262,1505,202437,15198,2008,202731,7765,202445,2750,27560,19193,27350,9360,4901,202161,666,204221,7671,29255,203665,3690,27357,27343,200284,7504,16008,202191,7965,202199,201079,1535,200612,202047,201641,204192,18057,200602,1297,1842,1269,204205,200617,27363,202118,4405,26712,27362,202743,18964,8074,201803,200576,6597,27367,200137,204214,201291,27359,204178,201189,201951,27675,29387,204228,27365,27349,3693,27368,200579"
Comprensión de conceptos de ciencia de datos - N3 - E,Intermedio (Nivel 3),"27348,201803,201932,7511,4901,202066,203065,201683,204185,200133,202118,201426,7770,204217,201431,202161,201927,200599,7444,4405,202446,7437,202164,201189,202190,202191,16008,27344,27675,7765,201936,204135,7452,29443,26705,2271,29227,6609,27351,7440,29382,200576,24170,19193,201641,1842,26644,202437,7435,2008,27357,1505,3779,200602,27730,7487,202199,201955,27958,201434,202047,1523,26712,7459,4016,10444,27520,203576,200326,8889,202046,26675,200612,1269,202731,27353,27334,27355,2093,15289,201598,26936,201435,202058,200617,29397,204227,201291,202927,202020,29281,202163,203106,202743,200608,201475,24909,7504,26182,27359"
Comprensión de conceptos de ciencia de datos - N4 - E,Avanzado (Nivel 4),"202066,201426,203065,201932,201927,7770,2271,16945,27348,202437,7444,200599,202199,26675,27675,16967,4901,202927,7440,201936,202118,19193,18057,202020,202164,19516,201155,204135,7437,201641,200326,29443,19645,7487,201431,1505,8088,202065,201803,204217,2008,16664,3779,7511,202446,27367,203576,201598,7870,200608,16008,202046,8939,13810,6609,204185,24170,2093,10481,27344,7460,7765,25467,201435,201951,16972,16840,29250,1523,1535,15289,1842,16520,716,16855,202070,202019,202966,17424,15463,202047,15874,201114,26712,7855,201433,19572,201955,29227,4405,24909,203204,26182,202068,200612,202196,8090,26705,202161,26644"
Comprensión de conceptos de ingeniería de datos - N1 - E,Básico (Nivel 1),"201336,202047,8061,27560,7435,200633,2008,7438,7367,26661,27550,200262,203065,200261,200617,1269,203662,7456,203106,7655,201431,27353,200269,8074,6591,203665,2231,1842,202966,7487,12816,27591,7732,204133,200140,18057,26624,29145,201927,7403,202731,203663,29247,6593,201268,16526,5288,531,12813,7388,200602,201428,204,7368,7437,202743,200155,202066,7389,1986,204228,11543,26633,202166,202485,382,9070,7575,7672,201301,6592,1297,7549,203664,2088,26568,1591,203660,29397,8782,7402,6602,204196,200306,11540,1270,26591,201803,201606,200600,2271,799,27349,8114,3711,7669,7473,201641,201331,202746"
Comprensión de conceptos de ingeniería de datos - N2 - E,Intermedio (Nivel 2),"2008,27560,200262,202047,201428,204228,1269,201336,201606,203065,7435,26712,202166,202485,26661,202020,203662,1842,203106,200326,8061,202030,29247,1591,3711,27550,201431,200261,29397,201641,26568,26633,7437,200617,18057,200269,200599,13,204213,1986,1535,201932,7655,204183,202437,1621,29227,204122,2231,7438,201114,202966,1864,1297,8782,1915,7487,201435,204215,29134,7389,203591,9360,7367,29379,29145,26591,7403,204196,27730,2271,26644,200576,382,799,1270,201426,200600,203665,10043,201445,201927,202949,200763,202743,203594,29377,204185,27598,7855,1019,1523,29116,200155,201936,8931,12813,1698,27344,7456"
Comprensión de conceptos de ingeniería de datos - N3 - E,Intermedio (Nivel 3),"202047,200633,7435,200599,200261,201431,203065,27598,200576,1842,29145,200617,27558,7659,1269,201336,200527,7438,200618,7669,202020,200600,202066,7367,204,6591,201428,24170,29286,200262,201932,200269,1955,27591,7671,203106,2231,10481,27560,6602,27643,202966,200602,18057,203662,1535,200608,203664,26705,12813,11153,29141,29227,200579,4901,9506,7368,200603,200272,7411,2271,2008,29134,201291,200319,200598,201268,201071,201437,16008,200581,27726,2485,15198,27348,11544,28862,20,29397,200137,200516,200323,203665,7549,7672,200605,1698,7403,1549,7437,2864,7388,382,7506,7473,26712,201927,29285,1591,201145"
Comprensión de conceptos de ingeniería de datos - N4 - E,Avanzado (Nivel 4),"203065,202020,201431,2271,1842,27598,201336,7435,202047,202966,201428,201932,200599,1523,16008,4901,202030,202066,201936,7444,7437,18057,201426,27560,24170,1473,2231,26568,200261,201268,202046,201927,29397,7655,29227,203106,7855,200262,200137,27348,19572,202019,203577,1591,7575,7459,201114,1269,202437,200608,24182,200612,2008,202164,7770,202959,204197,24181,29247,1986,204135,10481,201641,202927,7671,10043,203636,16855,27550,201598,201435,13810,201436,202743,10439,1713,200267,5288,201803,8939,3779,25467,1297,201291,203204,204185,7848,204209,1864,200326,12137,200134,7403,27643,202707,29443,200549,1580,5293,202746"
Desarrollo de software - N1 - E,Básico (Nivel 1),"9013,9054,9071,9055,9070,9384,2055,26661,201050,9147,9067,9908,9050,9079,9087,3914,9141,9052,4130,4161,9014,201269,9077,4988,1910,9024,2513,9078,8931,9091,201331,201165,201054,9068,7321,9058,8113,9090,26625,9089,4107,281,9069,5287,12618,2103,9250,9235,26633,9231,9072,24946,9086,9249,9186,16512,202450,6639,7325,27664,7524,7501,26640,11536,10173,9057,7566,2543,1570,6653,6194,7313,10983,7448,9016,8061,2046,203122,17544,2089,9083,202490,11540,5288,9074,7327,9177,2088,5550,9020,835,9383,9006,201293,2193,9051,9031,9076,11094,7512"
Desarrollo de software - N2 - E,Intermedio (Nivel 2),"9070,9051,9013,8113,2055,9076,202450,9077,4107,9078,203122,9169,24946,9141,9231,9384,11195,9186,9091,4161,7566,3917,202168,9071,201050,9006,202004,27551,9147,201176,10983,2046,3725,9394,9087,9388,26661,27234,9069,7524,9177,9053,201269,2305,14915,9090,2103,9421,7501,2193,7323,9089,11219,9168,9389,7313,9027,9068,9083,11104,9014,7325,9054,9037,11112,12737,11214,8290,3370,3349,6653,9184,7448,201271,12618,9908,9079,1910,9477,201054,26556,7314,281,24949,1570,201172,9024,3914,27229,203056,9052,1594,9148,6194,8069,12741,9179,9142,ID,10486"
Desarrollo de software - N3 - E,Intermedio (Nivel 3),"9052,9013,201050,9054,9384,9071,9014,201054,9050,3914,721,9024,9055,201331,201269,7325,5287,17544,9077,26661,4988,2055,7524,9908,2241,7501,2046,9057,9168,202490,203122,5550,2067,9169,9078,8113,9088,7327,9141,9256,9083,203211,202168,9091,9231,202062,7323,7322,4161,201279,9090,200310,9062,9016,7566,9153,9072,9023,9031,12851,27664,27234,7313,12850,7388,4130,4107,1910,9147,9249,9067,27247,9070,201293,2051,9086,202450,7321,281,8093,10983,9053,2103,201165,9058,17345,26640,8076,203031,9252,6194,200518,27218,202950,17159,6609,2513,9079,9186,204242"
Desarrollo de software - N4 - E,Avanzado (Nivel 4),"2046,11106,9013,202168,201050,11101,9086,7325,4107,9384,9071,3349,9153,9231,2103,2305,8113,11195,203117,9088,9430,9014,4161,9054,9141,27229,11104,10983,11043,6194,9051,2055,9421,11088,201269,9477,203122,7327,9908,201176,9186,11261,9091,9053,11100,7322,2241,27234,7323,11065,3914,9457,11045,26661,9052,9074,9083,9147,9058,7695,8093,9169,2193,3512,6609,9142,200310,9177,3392,1570,7566,9050,27453,9445,9433,202004,8076,1984,201054,201260,3917,201328,9024,201293,6653,27551,9090,6324,9067,201279,201172,8290,7448,9155,11517,9087,2822,9072,281,12618"
Desarrollo de software - N1 - H,Básico (Nivel 1),"4130,9013,2241,9071,3914,7513,10450,9231,9014,9384,2513,201050,9141,7403,9506,11097,5288,2089,9050,10439,200310,2046,7327,201165,11094,7325,7322,9016,4161,12851,202168,9059,9054,202490,201555,13447,201260,2088,201269,6194,7454,9086,9057,3798,11101,6322,7521,2055,203122,7448,8076,4988,5550,2316,9067,12320,9052,16704,5287,27234,9505,2543,9147,9031,4107,12850,11112,9020,7512,1570,9058,201932,10448,7311,11106,5141,1910,9045,7389,9072,9029,6933,9028,202485,202716,200518,7566,7402,29138,9023,7388,9877,7473,8230,13462,8093,27218,7406,10983,202004"
Desarrollo de software - N2 - H,Intermedio (Nivel 2),"9083,4107,9024,201050,9169,9153,27247,9058,9168,202450,2055,9013,9052,7325,7566,201054,7322,7327,27551,9071,9054,8113,11104,9141,4161,202168,201269,9231,9384,203122,7323,201279,9055,28421,12618,9050,9147,12851,9014,9087,2193,201271,17544,200763,9088,9072,2241,4988,7311,201293,9086,9091,9027,202062,24946,9142,9176,11002,9077,2103,9020,6653,3914,7524,200592,5550,201331,296,3917,9053,10983,9074,9043,201129,9908,835,9067,9085,200310,4130,9090,6609,5040,9076,202709,202490,7448,25040,202711,203117,9037,7513,13460,9070,23514,7501,2538,200315,9078,13724"
Desarrollo de software - N3 - H,Intermedio (Nivel 3),"4130,4161,9071,201308,9050,4107,2241,201050,2513,7327,7855,202490,9506,203117,9231,3914,9013,14347,2088,2089,201165,7566,201271,7513,1910,7325,201297,201279,16704,5289,201598,27551,200271,15327,5288,202066,9028,200310,9054,201288,25104,9153,7322,201293,9166,9384,19018,9086,201054,9088,202485,5287,4988,12668,9059,9877,202950,9014,27247,9029,9169,201286,29135,26556,203058,9052,202168,9908,19572,12850,203654,7403,200320,200267,9083,200295,25038,201431,202196,6653,201262,6609,13462,7448,200328,10983,202070,2046,27218,12851,7402,9091,7370,10092,3390,13460,9141,201333,721,27598"
Desarrollo de software - N4 - H,Avanzado (Nivel 4),"27247,9231,9071,27218,7327,2046,10983,201050,11106,7322,202168,11104,201271,7325,201279,9052,9169,13462,12851,9050,201293,9384,9013,9908,2241,201260,9027,9168,11101,9088,9153,2089,201176,203117,9877,1984,27664,26556,9086,7402,4107,6653,201165,9141,7323,7513,9421,9055,201054,11065,2103,9176,202450,4130,9037,203122,28421,9083,9147,19018,6609,24944,202196,9019,5141,2305,11094,9043,835,10993,7403,25103,11043,25104,11045,11113,9014,3747,201308,12408,13447,2055,9506,202430,27249,201286,4161,203211,25097,7860,9457,9079,24946,201269,201268,9024,6951,1980,9396,9477"
Gestión y gobeierno de datos - N1 - E,Básico (Nivel 1),"15199,12606,202125,15198,1986,2291,10222,200569,201290,1500,8591,2008,12628,2141,202364,14639,201453,202447,1842,2231,203663,201949,7438,26633,200587,3991,16526,201336,12648,204097,12728,204197,15167,8061,203662,22774,203065,201474,12743,7532,202966,202120,202020,12649,415,204,12613,201439,12734,200606,204083,16008,18057,204093,12610,1097,200567,4118,13579,201145,7807,1864,202128,2144,25467,201342,6591,12619,200262,7437,12616,201927,12626,201177,24182,2140,202130,1269,800,2093,27557,3693,200284,27560,26591,201470,15831,26624,7594,1535,204110,27543,8060,711,7435,7672,201460,10081,362,201428"
Gestión y gobeierno de datos - N2 - E,Intermedio (Nivel 2),"203662,600,203663,200587,1986,296,202364,202966,10085,203665,26633,1097,15198,292,202437,386,15199,2231,1439,439,2291,203056,203658,1864,203065,2008,7437,2055,201336,203661,1269,2056,1270,6591,16526,1505,800,1523,1698,1035,7438,7546,15780,1301,ID,204110,7672,12724,3370,382,2271,12619,8035,202366,27560,1623,3391,201145,7676,610,362,29397,200589,7655,26625,203643,202047,343,201932,16008,201080,3761,8151,2175,1535,15831,11536,203664,201090,1591,8061,354,18057,7532,27229,2093,1621,573,7671,666,422,25147,204197,203659,201050,7641,1842,4016,203655,1500"
Gestión y gobeierno de datos - N3 - E,Intermedio (Nivel 3),"204083,1986,10222,202364,200569,ID,26633,200567,2141,4118,26591,6591,203065,8151,1842,2231,12743,202966,204097,12649,201290,204110,202437,14639,16967,201428,15198,7855,7437,8091,24182,201336,203663,203665,16008,26568,201145,201927,2008,203662,204,202956,7438,204197,1864,1523,7619,28469,201071,7435,200262,12606,7906,29397,201936,1087,1097,6609,26624,15831,202722,202020,200587,203208,15199,202940,7940,201114,1269,11434,1500,22774,203661,7733,386,2149,6644,204135,201606,12619,25467,201348,201453,12724,203664,200599,11,18057,6625,11478,7734,26625,1591,14587,201598,203071,201431,2144,8061,19603"
Gestión y gobeierno de datos - N4 - E,Avanzado (Nivel 4),"204083,12628,26633,362,8098,12619,28469,2155,202364,10222,2141,12728,202415,201464,12649,7807,12648,12737,27542,202961,202940,8872,16433,12844,202966,24703,2315,12717,2149,201271,202943,7733,202947,16403,14549,26589,16502,6599,202958,204106,2151,201453,2148,14676,204110,202942,1986,202962,75,386,3237,4118,204097,14639,1491,204115,12617,202956,7940,15199,12616,12610,15317,15341,12644,16008,11457,523,201452,16702,202939,7907,12724,201466,2150,225,311,7915,22,202960,2176,24182,8038,7825,202957,2268,200569,7855,1431,16512,201460,7848,201551,2263,1087,8084,27531,201598,204118,2175"
Gestión y gobeierno de datos - N1 - H,Básico (Nivel 1),"7807,26589,12713,201453,202966,15199,25467,204083,24182,12619,10222,16526,202942,7435,200587,8872,27480,203065,202020,8098,204197,12606,12648,12616,201336,6599,26633,14639,27531,16008,204110,24181,19193,12604,16520,200569,2291,12717,1523,1842,6591,7960,12628,202364,15289,200567,202958,29397,202943,12844,202960,1986,201949,12733,204093,362,16967,2008,12728,24175,12753,3991,7898,18057,29216,12649,7908,204214,15198,201463,8038,7904,202947,201468,2155,201936,12724,203662,201290,201464,16525,8591,203578,28469,29227,7907,24170,8097,201606,27519,201428,610,204122,2231,26624,203665,1535,1591,27479,17424"
Gestión y gobeierno de datos - N2 - H,Intermedio (Nivel 2),"7807,362,16008,6599,16403,26589,8098,202966,202942,201598,12844,27531,16026,24182,24181,2155,12616,1986,19627,12604,16520,1301,202943,26182,15341,202952,3399,8097,202958,3273,15199,26633,204083,201462,10222,296,386,8872,25467,27480,10481,202961,3412,7907,12717,16179,4161,202947,10480,202948,16967,202965,203208,202722,27542,7437,8038,204197,7898,16027,26624,1491,201071,10482,4901,610,204106,202923,203665,22,202369,6586,204110,201461,201936,19193,202066,201336,15831,7960,12713,596,201290,7435,10479,150,200587,16493,200569,15198,17373,17424,273,27519,7444,7586,202409,8084,75,1440"
Gestión y gobeierno de datos - N3 - H,Intermedio (Nivel 3),"1986,24182,204083,7855,201598,200262,24020,202951,24181,16502,203065,202364,16862,16967,15831,201431,16403,11488,203204,23936,204093,201150,16008,6661,201570,26182,202444,26568,8767,1523,202018,203620,201606,201566,202966,15874,16678,2008,201290,17422,15526,204110,10481,2291,202020,201153,202927,202172,18123,7444,16179,27598,201936,19193,204122,24703,203058,2271,25467,203203,16026,201974,16177,15316,5086,200551,27479,201577,202030,204197,12619,200472,24175,1087,203045,201583,1535,200574,24243,204124,201348,204079,2278,201603,202066,16170,10222,201071,1713,200567,1301,16148,1864,25394,610,202447,26143,13582,24170,200550"
Gestión y gobeierno de datos - N4 - H,Avanzado (Nivel 4),"201598,1986,201336,202966,16967,16502,201606,16008,26633,201071,12619,1864,1301,16403,7855,16089,20,203065,10480,203662,201033,200611,201119,201936,201348,26568,203071,29286,15327,204079,200600,26182,362,16026,202172,386,17373,200587,21355,6602,1269,18057,203661,16538,19436,202364,1297,202951,12616,202415,15317,8061,7915,204083,1535,201080,200262,201572,610,200140,1505,23936,201271,523,203660,26591,15831,201145,24020,203208,202437,6653,200586,11098,200599,12628,10222,15526,16485,200569,16177,364,1633,7460,201090,200609,2350,16148,16079,15316,16972,2008,202020,201177,203058,202429,354,8084,1523,202066"
Importación y limpieza de datos - N1 - E,Básico (Nivel 1),"200134,201955,382,203065,386,29285,3711,200136,2008,16526,203665,1591,29281,1549,1269,1535,18964,203662,1842,202966,15198,203663,202722,203661,18057,200615,200576,21,573,16095,201336,200579,29286,7437,2231,1297,16008,200617,16038,203659,1986,202066,200618,1259,202437,1523,7435,200262,200600,203664,1643,203660,201184,202366,8939,16059,29397,203056,200608,200599,16079,1864,202047,201927,204,13838,29404,1621,16520,201431,1698,29382,201936,200587,201114,202369,204214,1270,7438,7671,28862,11080,200140,200569,2864,202199,10989,201428,24181,201606,24182,20,29227,12606,200602,6827,29288,7506,25467,200137"
Importación y limpieza de datos - N2 - E,Intermedio (Nivel 2),"10989,382,386,200134,203056,202366,203665,29285,3711,1270,201955,203663,203661,1259,2525,200136,21,1591,381,573,1698,33,ID,200579,203662,16095,200618,202722,7672,203664,16038,200576,200615,11080,201336,20,29387,15198,203659,16059,1297,203065,7518,29281,3370,2864,7438,7641,10479,10544,628,202369,200276,10991,784,201039,7671,203660,11261,27590,1269,28862,27550,204,1535,24955,8939,16526,200602,29286,7669,1621,2231,610,25012,1549,16079,2008,16520,422,7967,465,200503,1643,11065,202966,86,7437,7655,343,18964,200600,10996,200617,200587,339,200306,201184,82,13838"
Importación y limpieza de datos - N3 - E,Intermedio (Nivel 3),"201955,203065,200134,382,202966,386,3711,1269,201336,200600,1986,203665,203662,200615,1523,21,15831,202722,203663,2008,29285,16520,202199,200136,1864,202364,7437,24181,1297,1535,16008,15198,1591,203659,200587,29281,203661,202437,29397,16526,201936,16095,7967,200579,200618,29286,200617,1842,16059,16967,201932,201428,201071,201606,200576,203660,202369,573,27348,6827,1698,8091,24182,201572,201431,2231,203056,201290,202066,203664,1259,200262,7435,2116,6609,10481,22620,16038,16089,ID,7807,204122,354,610,16079,1549,200608,20,204214,8939,8063,202366,362,11080,11078,422,200569,11155,3766,18057"
Importación y limpieza de datos - N4 - E,Avanzado (Nivel 4),"3711,200134,382,29285,201955,6609,386,200618,200579,200615,10989,202437,21,202722,201932,1591,200136,203065,203661,200576,29286,86,10992,573,464,20,10986,10991,203665,202369,11132,200614,11261,1698,10996,29288,15198,7967,1259,200600,204135,200587,628,200581,27590,200599,381,8889,200588,11095,29281,203058,202199,203660,201071,201062,11124,16095,1549,203662,610,16038,1535,7669,203664,203659,1621,202066,24955,200586,10994,201336,5097,201431,11013,3827,203663,202444,1825,200608,7437,809,201291,11065,1643,11106,2008,827,33,202366,200602,11199,7435,204,29141,203117,1570,16089,201936,202168"
Importación y limpieza de datos - N1 - H,Básico (Nivel 1),"203065,16520,386,29281,1591,29285,201932,1523,16526,201936,24181,201955,24182,25467,201431,200615,200134,202966,200608,204110,202066,1698,18057,8939,201336,200599,8889,19193,7437,202722,29286,202437,201927,1842,1535,2271,200576,200614,4405,2008,1269,204122,10444,200618,12743,354,15289,16008,200612,1713,1505,3711,200136,202199,24170,1270,200587,202959,29288,20,16967,202020,29397,201606,200567,204214,200600,200598,202369,16059,1643,1297,1621,3779,2116,28862,382,7575,29253,200137,204204,24176,201114,201428,86,200467,204135,202047,24175,1473,29379,27348,200579,20597,1259,203662,204095,201062,203665,666"
Importación y limpieza de datos - N2 - H,Intermedio (Nivel 2),"201955,3711,202966,386,200615,200134,201336,382,7440,202196,202722,202364,6653,8098,21,1097,7437,203065,202066,203643,10480,203661,6609,10991,3237,11071,354,20,15327,362,29397,1591,29285,15198,16520,2008,4107,202369,610,11155,200136,200576,11077,203578,24181,200579,27542,12628,201606,26633,19573,201071,1986,16526,10477,ID,29404,201270,16089,27229,200763,29286,201572,9408,10994,203665,203662,201291,11106,29281,827,8091,12844,16095,21619,202719,7985,9384,200600,10482,202168,11247,12608,201268,11132,10486,11153,10481,1505,16038,7452,7506,7970,27333,12814,296,200587,202743,26667,11055"
Importación y limpieza de datos - N3 - H,Intermedio (Nivel 3),"200599,203065,202066,203058,201431,201955,386,27598,200134,202369,10481,1591,202927,202722,1523,202020,3711,7440,29285,200612,201114,202966,200615,382,2271,16520,201598,1986,16967,202370,201071,29397,16008,29281,203204,203576,201932,2008,18057,7435,200588,200608,7855,86,19193,200576,201426,16678,7437,24181,1535,202444,202058,201428,201936,200611,573,13810,23936,201369,88,202199,19572,20,200138,200262,203665,201336,202437,2489,29250,203577,201571,4901,200261,7770,2231,7444,1842,27675,201603,7575,628,1621,200618,201606,16502,201437,25562,202030,200472,27399,200603,1713,1087,2312,204205,200614,200610,610"
Importación y limpieza de datos - N4 - H,Avanzado (Nivel 4),"200615,201955,386,3711,10991,202722,201336,201606,382,203065,200134,202196,203058,200600,202030,6653,201572,203578,201071,204378,204122,8063,201566,202437,827,20,202711,203661,7440,21,201433,200763,29285,202966,203029,201432,15327,7669,16089,200586,203600,203207,200295,203662,1591,1259,201271,610,200157,200611,201936,2008,1535,201291,27590,2175,200587,29286,86,203208,202743,201932,202415,202369,16095,29283,203450,18057,201268,200539,203665,203581,13452,10994,200579,7840,201286,8075,29281,202719,91,201166,200540,1986,200136,10989,20411,6827,9037,1915,29404,202199,16038,11132,7889,200618,1523,204,202168,203056"
Infraestructura/arquitectura de datos - N1 - E,Básico (Nivel 1),"201336,8114,203065,7403,202047,203662,29247,7435,27560,15198,ID,2008,202485,200262,26568,7389,1269,12621,201428,7402,202966,7456,16008,3991,7473,1986,27598,7438,204228,7437,7655,7406,2231,201290,7388,202030,200576,27591,1591,12613,1842,8061,15199,203663,7367,202166,7405,200261,1535,201431,7454,201165,13830,200569,1523,200285,2088,7521,201114,1505,290,200617,201271,201268,7549,7575,26633,7487,382,2291,203664,12851,10043,200326,1297,28862,201014,204097,200581,202020,200599,201071,7672,9360,4118,203660,29216,7401,201145,200579,201641,201301,16526,10222,200269,201927,201606,202437,27550,201936"
Infraestructura/arquitectura de datos - N2 - E,Intermedio (Nivel 2),"ID,201336,7438,202047,7437,8114,29247,7435,202966,203065,203662,1269,8035,201165,7403,1297,15198,12621,27560,6591,16008,7402,17368,27598,26633,200527,29227,1535,610,201270,7406,7439,10439,7473,200576,200633,7672,7389,7487,2008,29397,200284,422,200261,2231,7388,9506,203663,1591,7655,7367,26645,202364,27590,202030,203665,11136,201268,7521,12613,6609,7855,7506,26568,3991,201271,29254,354,203659,7456,200262,200269,202190,26591,201291,7641,200579,12816,202485,201431,202059,203664,12628,6602,7607,2241,8130,7401,11155,16079,1549,18057,201474,15199,202066,203660,7368,1842,343,200285"
Infraestructura/arquitectura de datos - N3 - E,Intermedio (Nivel 3),"10222,12606,204197,204083,200567,12743,2141,200569,26568,13579,201439,12724,201453,201290,14587,4118,3991,204097,15198,201641,27591,201336,ID,7437,12729,204110,201444,15199,202125,7619,14639,8114,7389,204093,202447,12649,8591,2291,202030,201124,201342,203065,202966,12613,7438,202120,8061,7388,7401,7435,24108,7907,22774,204196,12718,12610,2149,1986,7403,1500,12753,24182,2316,7402,27560,9134,200269,200326,201271,201428,202364,11498,200262,201291,200284,7940,12733,7456,12749,6591,201955,12619,202047,201464,201606,202428,12721,201470,202415,26589,204143,12626,1473,200670,201468,201949,8872,14653,29247,7855"
Infraestructura/arquitectura de datos - N4 - E,Avanzado (Nivel 4),"201271,6602,7855,201165,ID,201336,202364,14587,2141,9913,6499,29247,10222,4118,26568,9914,8114,202415,2241,7940,202196,7403,6591,202030,8061,200576,12851,202966,12619,7389,12628,9384,9887,6609,201291,7370,422,7532,201453,16502,12613,6653,25104,7619,12649,201464,202485,7425,8063,26633,15198,203065,202745,7506,7388,362,7437,202940,2089,12608,12814,7761,75,9027,12621,204097,7402,1269,16702,3991,15317,8863,7435,73,201641,200303,9184,1087,1986,12724,12728,311,7695,27668,202962,27598,12624,200579,27560,12617,201342,200527,28462,200269,16538,10480,9908,10477,201428,201576"
Infraestructura/arquitectura de datos - N1 - H,Básico (Nivel 1),"8114,203065,202030,201336,7435,26568,29247,201936,7402,202047,201431,27598,29216,200527,200567,7855,204222,27560,7439,10043,204110,2241,201428,11498,201932,204213,3991,200549,2271,6591,7577,202020,27465,29379,204093,2513,16526,200261,29227,14587,29439,1523,201555,1473,12606,7403,200262,29397,202959,204122,2316,202966,24182,7372,201268,7369,29253,8939,15198,201641,7367,12691,201271,25467,20,12724,7438,1297,10439,7370,2089,7437,202066,27591,7655,7575,1535,12851,201606,16525,27550,204197,10450,201291,201927,202166,202485,7389,200137,200461,203603,201439,200599,200269,24170,11494,9877,2291,202164,12137"
Infraestructura/arquitectura de datos - N2 - H,Intermedio (Nivel 2),"201606,201336,202030,201291,201268,26568,201271,8114,200763,7401,3991,201071,12621,203660,203065,25103,15198,1955,14587,202196,204093,27737,201165,200587,2316,201439,10984,202120,204122,202966,201308,29397,9877,7372,7577,7855,7403,27598,27591,13838,202485,203662,7456,10480,202066,7402,200269,10222,201428,27465,12851,16526,200262,7549,1986,6591,12724,9088,201342,29135,203566,201431,7370,201288,5516,203578,7323,201297,202047,29247,202020,27218,15199,2241,200527,27643,201949,8872,201437,10481,9041,2089,29421,12849,201433,2008,10092,26546,204,27590,28565,7435,201566,12692,2088,201262,201196,27729,201936,12715"
Infraestructura/arquitectura de datos - N3 - H,Intermedio (Nivel 3),"7855,202030,27598,19601,7372,29247,201598,202485,201271,2241,7403,26568,7444,7370,201288,16502,14587,7389,201308,203065,202058,8114,7402,16008,19595,6646,6875,201603,6575,202966,16678,202066,201262,7439,2089,15463,17422,202049,202001,201641,2513,1986,ID,362,6644,24170,21495,18123,201165,18690,121,3874,25104,10481,201431,15327,201297,1188,201426,202057,4118,7405,200262,204083,7473,201435,8872,26591,202046,16179,202070,8061,7406,204110,6653,2094,12851,201336,17873,200261,200527,18916,200599,7925,3407,11,16148,201071,7839,204093,7817,202364,201437,200326,3412,201033,7435,8767,29250,12621"
Infraestructura/arquitectura de datos - N4 - H,Avanzado (Nivel 4),"201271,26568,202030,16502,201288,12851,7855,8063,7370,201262,14587,7402,202485,12621,21355,201336,7403,8114,201291,8061,7389,201286,9041,201033,201165,2089,201439,6653,29247,202049,202196,ID,201166,201603,6686,7447,9877,204083,203605,16793,4118,202415,200262,15316,27598,203071,203065,201119,201150,9887,202172,7405,2312,121,203106,27737,201308,6644,7761,2513,15317,203072,2241,201641,201598,201268,201432,12850,7388,26358,204197,10222,19595,16512,3874,27668,201999,12849,202193,25670,2350,9912,9027,2021,202745,201433,7372,1915,200173,202719,202966,16538,9182,20,7840,24108,204093,203593,201437,24182"
Ingeniería de datos - N1 - E,Básico (Nivel 1),"203065,16526,18057,201336,2008,382,1986,203662,204,200262,2291,15198,8074,204136,201268,1591,1535,201955,202447,201606,3711,9147,202966,8061,2231,202437,1523,201439,202196,11494,202020,200587,3693,386,15831,202047,610,1259,203661,7438,200576,1269,1505,202743,7732,201936,1549,7620,201949,47,25467,201291,21,8114,201566,26679,201290,12606,202066,26633,202030,201927,1842,7435,1864,7437,16967,201114,203660,3991,200579,202731,15199,1473,6593,7967,203106,202125,25103,202746,13830,200136,203056,10222,1621,16008,200140,29283,200276,204183,29397,202364,13838,29247,573,29227,7655,201641,26712,201453"
Ingeniería de datos - N2 - E,Intermedio (Nivel 2),"386,202366,382,201336,203056,203661,203663,3711,203665,202966,202369,203065,827,201955,1591,1259,202437,7437,10480,1698,15198,203662,10479,200579,1270,21,1986,202722,6609,201079,200136,296,7672,29283,4016,7669,6591,610,628,10991,204215,20411,1523,2175,200262,573,6593,3370,200576,10989,201071,200134,201566,6592,381,1505,91,7487,204378,2231,7655,7440,202743,2008,203106,7641,201271,2525,7732,7967,201291,33,202196,29387,18057,1269,10544,27590,7575,7671,204,15289,20,5310,27560,24955,201114,29397,8074,1366,16038,16526,ID,5516,202447,203660,15831,201155,201936,2271"
