habilidad_cliente,nivel_cliente,Concat_Habilidad_UBITS
Análisis de negocios - N3 - M,Intermedio (Nivel 3),"16502,15343,1755,19575,24020,7855,17422,202437,2271,2350,201571,7770,201586,3399,201572,203203,3793,1864,19091,16696,203072,16967,202172,201033,201026,1986,3930,682,201577,347,22872,16972,201932,203065,15338,203063,16512,7851,201054,19196,201995,202199,1987,4137,15552,1523,203031,3475,20045,716,1046,7460,87,201006,201090,18123,15738,712,86,201936,203045,4986,7925,201999,2377,203038,4940,202951,15429,9,1432,17385,203073,201048,13701,204135,6327,786,200698,18936,26639,364,2962,201142,2137,201021,23545,19587,201972,3928,5395,201680,201584,18584,14,203037,2643,16111,8090,3425"
Análisis de negocios - N4 - M,Avanzado (Nivel 4),"201572,202951,19575,201446,1986,201577,15343,201571,16502,3425,17378,22853,201598,8159,8037,364,3399,19585,16111,5395,1523,225,682,712,1633,202946,1864,18584,7770,15867,15548,201936,202411,1302,16840,26656,24020,23699,2288,347,201584,2271,786,23453,7913,202409,16967,8767,16170,15552,202403,3475,202199,19583,1432,15338,2268,4140,201021,27532,202437,7807,1177,7902,203620,203029,19091,19196,201177,203045,25394,201348,3930,7904,27519,7903,203043,1535,26241,7917,203452,26639,201180,14418,16485,7982,16972,18871,16026,2175,6691,6571,18936,3793,7914,15738,596,16664,2536,201006"
Análisis estadístico - N1 - E,Básico (Nivel 1),"3682,7965,2750,202065,7967,201155,29382,201927,2093,202066,6597,8074,27343,3781,27550,202437,3779,784,7921,7724,27344,3690,8091,27960,27363,8889,26613,7902,202055,204227,2951,4405,8088,203065,27357,4846,204221,1643,29275,202731,200602,203665,8869,29281,27365,202722,200617,8097,29227,200612,7655,204215,1591,29398,7575,27353,6601,204204,19193,202446,200137,666,202369,201123,202161,27560,22195,ID,4016,1842,200133,201431,1566,26644,27730,45,2144,202725,202964,27364,201803,200598,204233,10214,7903,201336,202000,2099,200136,203057,202068,201936,200601,201184,7974,7458,7826,1535,1621,26664"
Análisis estadístico - N2 - E,Intermedio (Nivel 2),"784,7967,20,7921,381,386,7965,202437,202369,382,3682,86,2750,6597,45,8889,202066,203058,21,203057,204204,201155,202065,666,6609,2093,201927,202722,464,204135,202055,8091,200614,628,809,29275,88,29382,202366,3779,200138,203065,465,200612,1698,200602,638,10989,200579,3711,200588,1643,201065,33,204215,3827,4846,29227,202446,201062,200581,25012,201932,29281,200618,29288,203056,1591,203665,202047,1535,10484,202068,200598,202441,26675,26182,8074,573,3781,7902,200601,10986,204205,29285,202161,82,4405,28862,610,7982,8869,200137,201114,200608,630,27550,19193,200140,200576"
Análisis estadístico - N3 - E,Intermedio (Nivel 3),"3682,202066,7967,201155,202065,2093,7965,201927,2750,201932,29382,203065,202437,8889,29281,784,6597,203665,27363,204227,204214,27343,200137,19193,202055,27344,202446,27550,201936,201336,3779,2099,8074,29227,201431,200612,7671,4405,200617,3781,22195,28862,10484,204135,666,7437,1591,204215,200602,29288,386,2951,204221,8091,1270,2271,201184,7921,201683,202161,16059,202731,200133,1621,4016,201114,382,200598,202722,8097,200134,202164,202369,381,27367,200140,1523,202190,200136,29283,29255,29398,1698,203663,29286,6609,200576,4846,26936,204205,24909,202047,8869,1842,8088,7575,29285,1297,29387,1311"
Análisis estadístico - N4 - E,Avanzado (Nivel 4),"3779,7965,202065,3781,202066,7967,201155,3682,202161,3690,2093,4405,8889,204204,29382,204233,204227,2750,19193,7724,8074,8091,6597,29227,204205,203065,8869,27344,29387,202164,202446,204221,4016,8088,29398,204214,784,7902,202437,202055,4846,8097,27343,202369,26613,666,2099,1566,201927,29266,1842,200612,2144,201803,27348,2951,204135,202070,7903,26644,202046,202731,26615,201431,27363,202964,7921,15857,1591,4901,26633,201932,7870,386,2271,7746,22195,4512,16008,27550,7974,200576,7437,15548,12042,26675,1535,16526,4025,201114,200137,27960,29281,1698,6609,202722,200602,7904,26641,202959"
Análisis estadístico - N1 - H,Básico (Nivel 1),"7965,2093,3779,7967,202066,3781,202161,202065,3682,4405,8091,204204,201155,19193,202055,29227,7724,8889,7902,29382,204205,204214,202369,2750,202446,204227,666,204233,6597,386,3690,202437,29266,8869,8097,203065,784,7921,204135,29387,1566,201932,202070,200612,26675,27363,4846,2099,8074,4016,1535,8088,202046,6609,1591,29398,202164,204215,27344,26613,7974,12042,26633,6575,7925,20,201927,16008,26644,29275,1698,203057,7437,7851,204221,7746,2951,1842,7904,4901,7903,202722,202058,4512,8159,202731,203665,628,364,203058,200137,7896,26615,201431,7770,201936,2271,26631,7733,202068"
Análisis estadístico - N2 - H,Intermedio (Nivel 2),"7965,7967,3682,202066,202065,8091,19193,2093,204204,202161,3779,29227,2750,3781,7724,8889,8097,202055,204227,6597,204205,201155,29382,7902,8074,3690,4405,202369,784,202070,26644,7671,201932,7921,7437,8869,27344,202046,202068,200137,16008,4846,29387,200612,2099,202722,204233,6601,201927,202437,202164,8088,7925,202446,7746,203065,27363,ID,27550,204215,204214,202731,29281,26645,204135,200588,4901,201431,200134,201291,202059,202058,22195,26675,6609,202927,1591,10214,7904,4025,7575,203058,201268,10484,7903,29398,202047,6575,1566,27348,18783,27960,7974,7655,26613,27357,200133,386,7851,200614"
Análisis estadístico - N3 - H,Intermedio (Nivel 3),"202066,202046,4405,7770,4846,202065,3779,202164,204205,201155,7511,202070,2750,202161,4901,27344,203065,204204,200612,202369,19193,27348,2093,2099,19516,8889,202055,7967,7870,8088,7965,7903,200700,3781,3682,8091,26644,24170,200599,203058,202068,201803,29382,202959,202446,201932,666,2312,7896,26645,200602,201431,202964,8097,202437,7982,1842,165,22195,3690,7902,202057,19645,7724,19585,386,784,1566,201927,202725,8869,2271,4025,204221,1591,27363,15548,202072,26675,2951,202058,200137,716,8816,7765,29266,202950,7855,202946,5402,29227,6575,18090,26656,202191,6609,7444,204256,200588,204227"
Análisis estadístico - N4 - H,Avanzado (Nivel 4),"202066,202161,202164,4846,201155,4405,202046,19516,202070,19585,202065,8088,202959,202964,202946,204205,3779,2093,202950,7870,8889,2312,204204,26656,203065,7967,2750,7826,2099,201452,202446,7770,201477,19193,202369,26650,26615,27344,204135,666,2144,8091,202953,7903,201471,202951,202437,7965,4901,203603,27520,201932,27537,203058,27348,202945,202943,202963,202960,27542,386,201473,22195,6609,202068,7511,7982,204221,26616,202191,2140,202055,200612,3781,202725,202966,8767,17378,201803,256,202743,6626,201571,202965,26613,16967,25394,202967,2951,7765,29387,202163,25379,201475,165,8774,201472,19204,14947,3682"
